state,active,date
Total,98259,2020-02-06
Maharashtra,37543,2020-02-06
Tamil Nadu,10138,2020-02-06
Delhi,11565,2020-02-06
Gujarat,5374,2020-02-06
Rajasthan,2803,2020-02-06
Madhya Pradesh,2922,2020-02-06
Uttar Pradesh,3109,2020-02-06
West Bengal,3141,2020-02-06
State Unassigned,6414,2020-02-06
Bihar,2285,2020-02-06
Andhra Pradesh,1313,2020-02-06
Karnataka,2026,2020-02-06
Telangana,1213,2020-02-06
Jammu and Kashmir,1624,2020-02-06
Haryana,1278,2020-02-06
Punjab,257,2020-02-06
Odisha,991,2020-02-06
Assam,1194,2020-02-06
Kerala,708,2020-02-06
Uttarakhand,746,2020-02-06
Jharkhand,374,2020-02-06
Chhattisgarh,426,2020-02-06
Himachal Pradesh,209,2020-02-06
Tripura,250,2020-02-06
Chandigarh,79,2020-02-06
Manipur,72,2020-02-06
Ladakh,30,2020-02-06
Goa,23,2020-02-06
Puducherry,54,2020-02-06
Nagaland,49,2020-02-06
Andaman and Nicobar Islands,0,2020-02-06
Meghalaya,15,2020-02-06
Arunachal Pradesh,19,2020-02-06
Dadra and Nagar Haveli and Daman and Diu,2,2020-02-06
Mizoram,12,2020-02-06
Sikkim,1,2020-02-06
Lakshadweep,0,2020-02-06
